deposit,559851859851,719,479
deposit,723623949502,361,902
deposit,13821676672,897,1471
deposit,508965617890,653,1532
withdraw,205536445170,45,1540
withdraw,1057644758278,48,1589
deposit,508965617890,653,1741
withdraw,112498761475,169,2124
deposit,508965617890,531,2272
withdraw,112498761475,93,2347
deposit,508965617890,542,2469
withdraw,634963983127,7,2619
deposit,398401438395,785,3492
deposit,723623949502,322,3799
withdraw,205536445170,264,3831
deposit,398401438395,772,4039
withdraw,634963983127,1,4108
deposit,13821676672,685,4176
deposit,99510733755,629,4627
deposit,398401438395,573,4750
deposit,571625622463,409,4775
withdraw,294887556195,46,5043
deposit,508965617890,44,5331
deposit,571625622463,830,5424
withdraw,829898319531,64,5685
deposit,535811054935,717,5804
withdraw,699848775552,13,6031
withdraw,294887556195,864,6220
withdraw,829898319531,164,6286
deposit,6506022462,373,6678
deposit,6506022462,938,6844
withdraw,549355110450,374,6967
withdraw,113262402362,3,7309
withdraw,268117838032,178,7527
withdraw,64292355796,7,7577
deposit,280246344057,184,7770
deposit,559851859851,633,7981
withdraw,829898319531,143,8217
withdraw,64292355796,485,8419
deposit,571625622463,522,8487
withdraw,268117838032,6,8739
withdraw,113262402362,109,8815
withdraw,49518543646,274,8993
withdraw,49518543646,10,9101
deposit,723623949502,98,9357
deposit,13821676672,613,9888
deposit,398401438395,828,10241
withdraw,294887556195,384,10297
deposit,398401438395,431,10500
deposit,13821676672,361,10929
withdraw,49518543646,197,10938
withdraw,113262402362,1,11054
withdraw,64292355796,92,11602
deposit,535811054935,562,11806
deposit,559851859851,583,11860
deposit,99510733755,429,12167
withdraw,55957904185,45,12296
withdraw,268117838032,171,12392
deposit,13821676672,25,12466
withdraw,823064245714,91,12996
deposit,398401438395,697,12997
withdraw,549355110450,45,13438
withdraw,699848775552,82,13522
deposit,723623949502,792,13561
withdraw,86779014723,143,13705
deposit,13821676672,26,14116
deposit,99510733755,283,14659
deposit,535811054935,538,15724
deposit,13821676672,989,15753
deposit,280246344057,609,16343
withdraw,64292355796,2,16419
withdraw,268117838032,155,16534
deposit,13821676672,227,16615
withdraw,753147206843,218,16984
deposit,6506022462,802,17276
withdraw,220832179816,327,17310
deposit,559851859851,807,17657
withdraw,113262402362,59,17718
withdraw,803161769813,121,17719
withdraw,699848775552,187,17949
deposit,13821676672,122,18077
withdraw,49518543646,9,18262
withdraw,261114230996,1071,18291
withdraw,549355110450,264,18354
withdraw,966019877948,1130,18380
deposit,508965617890,43,18970
withdraw,404849137674,130,19123
deposit,535811054935,828,19203
deposit,13821676672,402,19447
withdraw,315445797588,292,19512
withdraw,626259052315,115,19613
deposit,571625622463,542,19845
withdraw,476569872327,50,20097
withdraw,823638981732,60,20183
withdraw,634963983127,7,20208
withdraw,666667443251,184,20346
withdraw,970789055478,523,20392
withdraw,398460817117,180,20548
withdraw,939736951370,310,20823
deposit,398401438395,425,21057
withdraw,112498761475,629,21149
deposit,13821676672,620,21271
deposit,723623949502,915,21500
withdraw,205536445170,434,21705
deposit,571625622463,691,21904
withdraw,178725279651,284,21924
withdraw,823638981732,1263,22026
deposit,280246344057,726,22376
withdraw,939736951370,100,22377
withdraw,1057644758278,419,22587
withdraw,549355110450,38,22878
deposit,559851859851,173,22964
withdraw,970789055478,32,23049
withdraw,699848775552,48,23423
deposit,571625622463,45,24525
withdraw,803161769813,11,24948
deposit,280246344057,959,25050
deposit,571625622463,996,25443
withdraw,55957904185,2,25533
deposit,398401438395,263,25591
withdraw,823638981732,296,25660
deposit,723623949502,108,26262
withdraw,404849137674,2,26547
withdraw,626259052315,63,26673
withdraw,261114230996,806,26693
withdraw,220832179816,41,26754
deposit,6506022462,775,26810
withdraw,549355110450,1083,26942
withdraw,86779014723,23,27145
withdraw,966019877948,63,27225
withdraw,823064245714,1860,27229
deposit,723623949502,296,27302
withdraw,939736951370,1,27365
deposit,6506022462,638,27455
deposit,535811054935,719,27695
withdraw,315445797588,105,27865
deposit,571625622463,361,27890
withdraw,970789055478,2,27960
withdraw,753147206843,8,28058
deposit,6506022462,78,28514
withdraw,699848775552,54,28762
deposit,398401438395,932,29430
deposit,559851859851,158,29585
deposit,99510733755,59,29963
deposit,398401438395,760,29979
deposit,559851859851,609,29991
deposit,723623949502,515,30099
withdraw,823638981732,228,30100
deposit,723623949502,518,30646
withdraw,939736951370,8,30807
withdraw,823638981732,25,30886
withdraw,939736951370,3,30911
withdraw,970789055478,76,31156
withdraw,970789055478,1,31248
deposit,398401438395,31,31403
deposit,571625622463,10,31436
withdraw,398460817117,189,32237
withdraw,178725279651,115,32888
withdraw,476569872327,8,33136
withdraw,666667443251,48,33474
